Heading,Name,Week,Resource Link,Lecture Link
,,,,
•Tutorial 4,Problem sheet,Week 4,https://hello.iitk.ac.in/sites/default/files/eso209a21/Tutorial%204.pdf?userid=27382&lid=252&filename=Tutorial%204.pdf,No Lecture Video
•Kinematics: Euler angles,Lecture 7 - part 3 of 3,Week 4,No Resource Provided,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/250.mp4
•Kinematics: Euler angles,Lecture 7 - part 2 of 3,Week 4,No Resource Provided,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/249.mp4
•Kinematics: Euler angles,Lecture 7 - part 1 of 3,Week 4,"https://hello.iitk.ac.in/sites/default/files/eso209a21/Lecture%207.pdf?userid=27382&lid=248&filename=Lecture%207.pdf
https://hello.iitk.ac.in/sites/default/files/eso209a21/Lecture%207%20with%20notes.pdf?userid=27382&lid=248&filename=Lecture%207%20with%20notes.pdf
",https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/248.mp4
•Kinematics: Axis-angle formula,Lecture 6 - part 3 of 3,Week 4,No Resource Provided,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/247.mp4
•Kinematics: Axis-angle formula,Lecture 6 - part 2 of 3,Week 4,No Resource Provided,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/246.mp4
•Kinematics: Axis-angle formula,Lecture 6 - part 1 of 3,Week 4,"https://hello.iitk.ac.in/sites/default/files/eso209a21/Lecture%206.pdf?userid=27382&lid=245&filename=Lecture%206.pdf
https://hello.iitk.ac.in/sites/default/files/eso209a21/Lecture%206%20with%20notes.pdf?userid=27382&lid=245&filename=Lecture%206%20with%20notes.pdf
",https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/245.mp4
•Tutorial 3,Problem 6 - solution,Week 3,https://hello.iitk.ac.in/sites/default/files/eso209a21/T3-P6.pdf?userid=27382&lid=239&filename=T3-P6.pdf,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/239.mp4
•Tutorial 3,Problem 5 - solution,Week 3,https://hello.iitk.ac.in/sites/default/files/eso209a21/T3-P5.pdf?userid=27382&lid=241&filename=T3-P5.pdf,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/241.mp4
•Tutorial 3,Problem 4 - solution,Week 3,https://hello.iitk.ac.in/sites/default/files/eso209a21/T3-P4.pdf?userid=27382&lid=238&filename=T3-P4.pdf,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/238.mp4
•Tutorial 3,Problem 3 - solution,Week 3,https://hello.iitk.ac.in/sites/default/files/eso209a21/T3-P3.pdf?userid=27382&lid=244&filename=T3-P3.pdf,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/244.mp4
•Tutorial 3,Problem 2 - solution,Week 3,https://hello.iitk.ac.in/sites/default/files/eso209a21/T3-P2.pdf?userid=27382&lid=242&filename=T3-P2.pdf,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/242.mp4
•Tutorial 3,Problem 1 - solution,Week 3,https://hello.iitk.ac.in/sites/default/files/eso209a21/T3-P1.pdf?userid=27382&lid=243&filename=T3-P1.pdf,https://d3i96zfsvt175x.cloudfront.net/eso209a21/videos/original/243.mp4
•Tutorial 3,Problem sheet,Week 3,https://hello.iitk.ac.in/sites/default/files/eso209a21/Tutorial%203.pdf?userid=27382&lid=232&filename=Tutorial%203.pdf,No Lecture Video
